mdb_id,name,wahlkreis_id,wahlkreis_name,fraktion,url,geburtsdatum,partei,mandatsart,img_url
1394,"Brand (Fulda), Michael",174,Fulda,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/brand_michael-857184,,,,https://www.bundestag.de/resource/image/864600/3x4/284/379/fabaf64ee26b3304c73b07dbd32e5ec8/CEDA2EED63E29CD63947B5F0A86DDA5D/brand_michael_bild.jpg
2039,"Brandenburg (Rhein-Neckar), Dr. Jens",277,Rhein-Neckar,FDP,https://www.bundestag.de/abgeordnete/biografien/B/brandenburg_jens-857216,,,,https://www.bundestag.de/resource/image/864602/3x4/284/379/75fb30c76c199efa71287db6d5a33744/9CC6DE20346ABD69FA2D816ABFD6C0AD/brandenburg_jens_gross.jpg
2040,"Brandenburg (Südpfalz), Mario",,,FDP,https://www.bundestag.de/abgeordnete/biografien/B/brandenburg_mario-857166,,,,https://www.bundestag.de/resource/image/864604/3x4/284/379/ef44c2e44b43fb512d301f6728695548/BC36229C2A8E43503A781A789C075447/brandenburg_mario_gross.jpg
2344,"Brandes, Dirk",47,Hannover-Land II,AfD,https://www.bundestag.de/abgeordnete/biografien/B/brandes_dirk-860314,25.05.1974,AfD,Landesliste,https://www.bundestag.de/resource/image/861990/3x4/284/379/bb15b021310ae586ea14aacbe3e38eb6/5EB50EBD34B352CE1D0F65636E8A1BA2/brandes_dirk.png
1648,"Brandl, Dr. Reinhard",216,Ingolstadt,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/brandl_reinhard-857194,01.08.1977,CSU,Direktwahl,https://www.bundestag.de/resource/image/864606/3x4/284/379/438748dd8f8629147368c9ac43453aac/437923B8E41D40632197DB9B7757EEA8/brandl_reinhard_gross.jpg
2041,"Brandner, Stephan",194,Gera – Greiz – Altenburger Land,AfD,https://www.bundestag.de/abgeordnete/biografien/B/brandner_stephan-857202,29.05.1966,AfD,Direktwahl,https://www.bundestag.de/resource/image/864608/3x4/284/379/174aec33dda073a88c62f0a696b19801/C2AA8D6F4FA5BF43B8C069E2F794210C/brandner_stephan_gross.jpg
1785,"Brantner, Dr. Franziska",274,Heidelberg,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/brantner_franziska-857200,24.08.1979,BÜNDNIS 90/DIE GRÜNEN,Direktwahl,https://www.bundestag.de/resource/image/864538/3x4/284/379/f956cd0cfe1acf5e0cf112be9ccaeff7/54D22FFE8345C3628CFA874B5B86E9EF/brantner_Franziska_gross.jpg
1175,"Braun, Prof. Dr. Helge",173,Gießen,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/braun_helge-857178,18.10.1972,CDU,Landesliste,https://www.bundestag.de/resource/image/864564/3x4/284/379/9a1fc9159130bd1b0da40ce23a1897d6/417F418DEE0A0F65A1B94E9869D380B1/braun_helge_gross.jpg
2043,"Braun, Jürgen",264,Waiblingen,AfD,https://www.bundestag.de/abgeordnete/biografien/B/braun_juergen-857190,25.08.1961,AfD,Landesliste,https://www.bundestag.de/resource/image/864552/3x4/284/379/20ce488e2274de7d486d01bed1d40472/A2FA24C527579D6000A133183BDC178F/braun_juergen_gross.jpg
2044,"Breher, Silvia",32,Cloppenburg – Vechta,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/breher_silvia-857172,23.07.1973,CDU,Direktwahl,https://www.bundestag.de/resource/image/863910/3x4/284/379/4b72b38cad3e432e6627a9a0a9e67161/E3A56DAA4A63C76123F62E262A417AC4/breher_sylvia.jpg
