mdb_id,address,street,postalcode,city,lat,lon
1794,"Heilig-Kreuz-Straße 24, 86152 Augsburg",Heilig-Kreuz-Straße 24,86152,Augsburg,48.372322049999994,10.891311299878975
1750,"Blendstatt 3, 74523 Schwäbisch Hall",Blendstatt 3,74523,Schwäbisch Hall,49.114549,9.736895050000001
2359,,,,,,
2360,"Lenbachplatz 16, 86529 Schrobenhausen",Lenbachplatz 16,86529,Schrobenhausen,48.561468000000005,11.264903577496192
2361,"Kugelbühlstraße 9, 91154 Roth",Kugelbühlstraße 9,91154,Roth,49.2457795,11.09193055
2068,,,,,,
2362,,,,,,
2309,"Heimstraße 7, 89073 Ulm",Heimstraße 7,89073,Ulm,48.4018327,9.9946396
2363,"Stadtberg 26, 89312 Günzburg",Stadtberg 26,89312,Günzburg,48.4544136,10.273863
2364,,,,,,
2365,,,,,,
2070,"Güterstraße 2, 94469 Deggendorf",Güterstraße 2,94469,Deggendorf,48.837666150000004,12.949317959647981
2070,"Krankenhausstraße 3, 94078 Freyung",Krankenhausstraße 3,94078,Freyung,48.8062118,13.54599054311117
1406,"Hadergasse 11, 97421 Schweinfurt",Hadergasse 11,97421,Schweinfurt,49.990033100000005,10.25142122966652
1406,"Heiligkreuzstrasse 4, 96450 Coburg",Heiligkreuzstrasse 4,96450,Coburg,50.26330745,10.966372845188284
1406,"Ostuzzistraße 1, 94032 Passau",Ostuzzistraße 1,94032,Passau,48.57117435,13.44485586698554
2071,"Arndtstraße 6-8, 33602 Bielefeld",Arndtstraße 6-8,33602,Bielefeld,52.0248954,8.5298618
1797,"Altburger Straße 13, 75365 Calw",Altburger Straße 13,75365,Calw,48.715061750000004,8.73696459362355
2072,,,,,,
2073,"Hohe Bude 15, 39576 Stendal",Hohe Bude 15,39576,Stendal,52.60528085,11.85840950502774
1799,"Heidenheimer Straße 68, 73079 Süßen",Heidenheimer Straße 68,73079,Süßen,48.681196299999996,9.759611386986837
2366,"Hauptstraße 36, 16547 Birkenwerder",Hauptstraße 36,16547,Birkenwerder,52.688907,13.2826251
2367,"Walter-Schneider-Straße 6,06317 Seegebiet Mansfelder Land",Walter-Schneider-Straße 6,06317,Seegebiet Mansfelder Land,51.4867256,11.70441425
2367,"Friedrich-Schmidt-Straße 2, 06526 Sangerhausen",Friedrich-Schmidt-Straße 2,06526,Sangerhausen,51.47255245,11.296262977935323
1800,"Landvogtei 5, 79312 Emmendingen",Landvogtei 5,79312,Emmendingen,48.1210829,7.848171715579303
1801,"Berliner Straße 119, 16515 Oranienburg",Berliner Straße 119,16515,Oranienburg,52.7361633,13.2414569
2075,,,,,,
1335,,,,,,
2076,,,,,,
2368,,,,,,
2369,,,,,,
2596,"Gewerbestraße 2-4, 69221 Dossenheim",Gewerbestraße 2-4,69221,Dossenheim,49.4555565,8.6652826
2077,"Baaderstraße 59, 80469 München",Baaderstraße 59,80469,München,48.128534,11.576476215274152
1583,"Bahnhofstraße 36c, 34582 Borken",Bahnhofstraße 36c,34582,Borken,51.0469993,9.280899
1583,"Obermarkt 5, 35066 Frankenberg/ Eder",Obermarkt 5,35066,Frankenberg/ Eder,,
1806,"Justinus-Kerner-Str. 5, 78048 Villingen-Schwenningen",Justinus-Kerner-Str. 5,78048,Villingen-Schwenningen,48.060502799999995,8.452929604647277
1195,,,,,,
2079,,,,,,
1011,"Schützenstraße 1, 95028 Hof",Schützenstraße 1,95028,Hof,50.31977235,11.91336785
1665,"Jakobstraße 46, 90402 Nürnberg",Jakobstraße 46,90402,Nürnberg,49.4491648,11.0712983
2082,,,,,,
2081,,,,,,
2371,,,,,,
2370,"Am Eser 2, 86150 Augsburg",Am Eser 2,86150,Augsburg,48.359783500000006,10.900353555325943
2370,"Baldinger Str. 17, 86720 Nördlingen",Baldinger Str. 17,86720,Nördlingen,48.85268635,10.487027648302291
1649,"Königstraße 2, 23701 Eutin",Königstraße 2,23701,Eutin,54.1369144,10.616436
2372,,,,,,
2373,,,,,,
2375,,,,,,
1808,,,,,,
2084,,,,,,
2374,,,,,,
1630,"Max-Planck-Straße 6, 76829 Landau",Max-Planck-Straße 6,76829,Landau,49.1910406,8.139133001459623
1408,,,,,,
2376,"Löwenstraße 11, 96450 Coburg",Löwenstraße 11,96450,Coburg,50.2610619,10.9624987
2086,"Prenzlauer Allee 22, 10405 Berlin",Prenzlauer Allee 22,10405,Berlin,52.5318536,13.4203374
1647,,,,,,
2377,,,,,,
1410,,,,,,
2378,"Bahnhofstr. 9, 48282 Emsdetten",Bahnhofstr. 9,48282,Emsdetten,52.1756054,7.5307569
2087,,,,,,
1994,"Alleestr. 60, 66953 Pirmasens",Alleestr. 60,66953,Pirmasens,49.196868949999995,7.608727793554284
2467,,,,,,
2379,,,,,,
1020,"Schillergässchen 5, 07745 Jena",Schillergässchen 5,07745,Jena,50.9244439,11.5827034
2380,,,,,,
1616,"Schwanthaler Straße 139, 80339 München",Schwanthaler Straße 139,80339,München,48.1377167,11.5429612
2091,"Sankt-Anton-Straße 52, 47798 Krefeld",Sankt-Anton-Straße 52,47798,Krefeld,51.3340526,6.5635454
2381,,,,,,
2382,,,,,,
2383,,,,,,
1155,"Schlossstr. 2, 42551 Velbert",Schlossstr. 2,42551,Velbert,51.3415406,7.039439259470248
763,,,,,,
1208,"Bahnhofstraße 21, 21423 Winsen/ Luhe",Bahnhofstraße 21,21423,Winsen/ Luhe,,
1269,"Bahnhofstraße 27, 73728 Esslingen",Bahnhofstraße 27,73728,Esslingen,48.74090435,9.303307055141646
2591,,,,,,
1412,"Oraniendamm 6-10, 13469 Berlin",Oraniendamm 6-10,13469,Berlin,52.6074331,13.326566172011432
2384,,,,,,
764,"Wilhelmstraße 20, 37308 Heilbad Heiligenstadt",Wilhelmstraße 20,37308,Heilbad Heiligenstadt,51.3772315,10.134697902262836
764,"Bahnhofstraße 15/16, 99734 Nordhausen",Bahnhofstraße 15/16,99734,Nordhausen,,
764,"Hospitalstraße 88, 99706 Sondershausen",Hospitalstraße 88,99706,Sondershausen,51.3769115,10.8683638
2093,,,,,,
1813,"Poststr. 34, 21682 Stade",Poststr. 34,21682,Stade,53.6008649,9.4762956
2385,"Hauptstraße 390, 51143 Köln",Hauptstraße 390,51143,Köln,,
1815,"Reinhäuser Landstraße 5, 37083 Göttingen",Reinhäuser Landstraße 5,37083,Göttingen,51.5276098,9.939475895208837
2386,,,,,,
1176,"Händelweg 1, 68794 Oberhausen-Rheinhausen",Händelweg 1,68794,Oberhausen-Rheinhausen,49.27983965,8.478197040566037
167,,,,,,
