mdb_id,ausschuss_id,funktion
1442,a03,
2426,a03,
2151,a03,stv.M.
2427,a03,
2428,a03,
2152,a03,
1050,a03,
2429,a03,
2602,a03,
1344,a03,
1174,a03,stv.M.
2430,a03,
2603,a03,
2431,a03,
2432,a03,
2154,a03,
2433,a03,
1327,a03,
2156,a03,
1329,a03,
2434,a03,
2435,a03,
1599,a03,
2436,a03,o.M.
2437,a03,o.M.
2438,a03,
1865,a03,
1451,a03,
1561,a03,
2159,a03,O.
2160,a03,
2161,a03,
2295,a03,
1453,a03,
1866,a03,o.M.
2439,a03,
1867,a03,
2440,a03,
1569,a03,
1869,a03,
2442,a03,
2443,a03,
2445,a03,
2444,a03,
2446,a03,
2447,a03,
2162,a03,
1872,a03,
2163,a03,
1752,a03,
2164,a03,stv.M.
1631,a03,
1196,a03,
1241,a03,
2449,a03,
2166,a03,
2167,a03,
2450,a03,o.M.
1605,a03,
1243,a03,
2451,a03,
2452,a03,
2453,a03,o.M.
1621,a03,
1703,a03,
2454,a03,
2455,a03,
2290,a03,
1876,a03,
2456,a03,
2457,a03,
2173,a03,
2174,a03,
2459,a03,stv.M.
2302,a03,
2460,a03,
2461,a03,
1458,a03,
1601,a03,
1347,a03,
2463,a03,
2462,a03,
2464,a03,
2465,a03,
779,a03,
2595,a03,
2466,a03,
2468,a03,
2469,a03,
1882,a03,stv.M.
2178,a03,
2470,a03,
2471,a03,
1652,a03,
1463,a03,
2472,a03,
1883,a03,
2473,a03,stv.M.
1885,a03,
1625,a03,
2184,a03,
2474,a03,
2181,a03,
2183,a03,
2475,a03,
1718,a03,
2476,a03,o.M.
2477,a03,
2186,a03,
2187,a03,
1888,a03,
1469,a03,
2188,a03,
1470,a03,
2478,a03,
2479,a03,o.M.
2480,a03,
2190,a03,
1291,a03,
1556,a03,
2192,a03,o.M.
1889,a03,o.M.
2194,a03,
1309,a03,
2481,a03,
2482,a03,stv.M.
2483,a03,
2195,a03,
2484,a03,
2196,a03,
2486,a03,
2485,a03,
2198,a03,
1077,a03,o.M.
2199,a03,
1622,a03,
1529,a03,stv.M.
2487,a03,
2488,a03,
1895,a03,
1898,a03,
1899,a03,
1735,a03,o.M.
2489,a03,
2201,a03,
1896,a03,
2202,a03,
1475,a03,stv.M.
2490,a03,
2203,a03,stv.M.
2491,a03,
1900,a03,
2492,a03,
2493,a03,stv.M.
2494,a03,
1085,a03,
1571,a03,
2495,a03,
2496,a03,
2205,a03,
2206,a03,
2207,a03,
1991,a03,
2498,a03,
2210,a03,
2499,a03,
2211,a03,
2500,a03,
2213,a03,
2214,a03,
1908,a03,
1909,a03,
2215,a03,
1912,a03,
788,a03,stv.M.
1913,a03,
1914,a03,o.M.
2501,a03,
1915,a03,
429,a03,stv.M.
2502,a03,
2503,a03,
2216,a03,
2504,a03,
2505,a03,
2506,a03,
2218,a03,
1916,a03,
2220,a03,
2507,a03,stv.M.
1568,a03,
2221,a03,
1918,a03,
2508,a03,
2592,a03,
1484,a03,
1677,a03,
794,a03,o.M.
2509,a03,
1919,a03,
2510,a03,
2511,a03,
1920,a03,
2512,a03,
1307,a03,
1093,a03,V.
2597,a03,
2222,a03,
2223,a03,
2513,a03,
2514,a03,
1713,a03,
1921,a03,
1923,a03,
2601,a03,
1314,a03,
2000,a03,
1924,a03,
2590,a03,
2516,a03,
2226,a03,
1270,a03,
2517,a03,
2518,a03,o.M.
2519,a03,
1488,a03,
2520,a03,
2521,a03,
2522,a03,
1926,a03,
1927,a03,
2523,a03,
1492,a03,
1928,a03,
2227,a03,
2524,a03,
1929,a03,
2525,a03,
2526,a03,stv.M.
2230,a03,O.
1932,a03,
2527,a03,stv.M.
2528,a03,
2231,a03,
2232,a03,
1097,a03,
2529,a03,
2234,a03,
1706,a03,
1602,a03,
2530,a03,
2531,a03,
2235,a03,stv.M.
2532,a03,stv.M.
2237,a03,
2238,a03,
2533,a03,
2534,a03,
2535,a03,
2241,a03,
1936,a03,
2536,a03,
1500,a03,o.M.
1704,a03,
1938,a03,
1501,a03,
2243,a03,
2538,a03,
1584,a03,
2539,a03,
2244,a03,
2540,a03,
2541,a03,
2542,a03,o.M.
2245,a03,
1333,a03,stv.M.
2246,a03,
1502,a03,
1680,a03,
2543,a03,
1940,a03,
1210,a03,
2544,a03,
2250,a03,
2545,a03,o.M.
2251,a03,
1943,a03,
2252,a03,
1944,a03,stv.M.
2253,a03,
2547,a03,
1945,a03,
1946,a03,
2548,a03,o.M.
2255,a03,
1949,a03,
2549,a03,
1341,a03,
2550,a03,
1632,a03,
2551,a03,
2552,a03,
2553,a03,
2256,a03,stv.M.
2257,a03,
1597,a03,
2259,a03,
813,a03,
1536,a03,
2554,a03,
2555,a03,
2515,a03,
2262,a03,
1954,a03,
2263,a03,
2556,a03,
2264,a03,
2557,a03,
2265,a03,
1955,a03,
2266,a03,
1596,a03,
2267,a03,
1271,a03,
1956,a03,
2558,a03,
1757,a03,
2269,a03,
1510,a03,
1957,a03,
2559,a03,
2560,a03,stv.M.
2015,a03,
2561,a03,
2270,a03,
2562,a03,
2271,a03,
1958,a03,stv.M.
1512,a03,
1960,a03,
2272,a03,
2286,a03,
1964,a03,
1725,a03,stv.M.
1570,a03,
2563,a03,
2594,a03,
2273,a03,
1723,a03,stv.M.
2564,a03,
2565,a03,o.M.
1610,a03,
2566,a03,
2567,a03,
861402,a03,
2568,a03,
2569,a03,
1756,a03,
1180,a03,stv.M.
1968,a03,
2276,a03,
2570,a03,
2571,a03,
2277,a03,
2293,a03,
1971,a03,
2572,a03,
2573,a03,
1690,a03,
2574,a03,
2575,a03,
2278,a03,stv.M.
1973,a03,
2279,a03,
1974,a03,
1130,a03,o.M.
2280,a03,
2576,a03,
1975,a03,
2281,a03,
2144,a03,
1135,a03,
1519,a03,
2577,a03,
2578,a03,
2283,a03,
2579,a03,
2580,a03,
2284,a03,
2581,a03,
2582,a03,
2583,a03,
2584,a03,o.M.
1980,a03,
1984,a03,
2585,a03,
2285,a03,
1985,a03,
1990,a03,
2586,a03,stv.M.
2587,a03,
2588,a03,
2314,a18,
2315,a18,
2316,a18,
2317,a18,stv.M.
2318,a18,stv.M.
2319,a18,
2019,a18,
2320,a18,o.M.
2321,a18,
2322,a18,
1769,a18,O.
2020,a18,
2021,a18,o.M.
2022,a18,
1771,a18,
2323,a18,
1383,a18,
2324,a18,
1642,a18,
2325,a18,
1773,a18,
1653,a18,
2326,a18,
2327,a18,
2328,a18,
2023,a18,
1774,a18,
1229,a18,
2329,a18,
1775,a18,
1776,a18,
2330,a18,
2331,a18,
2288,a18,
1385,a18,
2599,a18,
1297,a18,
973,a18,
2593,a18,
1607,a18,
2025,a18,
2332,a18,
2026,a18,
2029,a18,
2335,a18,
2333,a18,
2334,a18,o.M.
2030,a18,
2441,a18,stv.M.
2336,a18,
2337,a18,
2338,a18,
2032,a18,
2033,a18,
1558,a18,
2036,a18,
1566,a18,
1656,a18,
2339,a18,stv.M.
2037,a18,
2340,a18,
2341,a18,
2038,a18,
2342,a18,o.M.
2313,a18,
2343,a18,
1394,a18,
2039,a18,
2040,a18,
2344,a18,
1648,a18,
2041,a18,
1785,a18,
1175,a18,
2043,a18,
2044,a18,
2045,a18,
1619,a18,
2345,a18,
2046,a18,
1659,a18,
2047,a18,
2346,a18,
1701,a18,
2347,a18,
2299,a18,
2048,a18,
2049,a18,
2589,a18,
2348,a18,
1661,a18,
2051,a18,
2053,a18,
2349,a18,
1787,a18,
2054,a18,
2055,a18,o.M.
2056,a18,
1264,a18,o.M.
2008,a18,
2057,a18,
2058,a18,
2059,a18,
2350,a18,
2305,a18,
1788,a18,
2060,a18,
1398,a18,
1917,a18,stv.M.
993,a18,
2351,a18,
2352,a18,
1789,a18,
2353,a18,
2354,a18,
2355,a18,
2063,a18,
1791,a18,
1646,a18,
1288,a18,
2356,a18,stv.M.
2064,a18,
1792,a18,
1793,a18,
2357,a18,
2358,a18,
2066,a18,
1794,a18,
1750,a18,
2359,a18,
2360,a18,
2361,a18,
2068,a18,
2362,a18,
2309,a18,stv.M.
2363,a18,
2364,a18,
2365,a18,stv.M.
2070,a18,
1406,a18,
2071,a18,stv.M.
1797,a18,stv.M.
2072,a18,
2073,a18,
1799,a18,
2366,a18,
2367,a18,
1800,a18,
1801,a18,
2075,a18,
1335,a18,
2076,a18,
2368,a18,
2369,a18,
2596,a18,o.M.
2077,a18,
1583,a18,
1806,a18,
1195,a18,
2079,a18,
1011,a18,
1665,a18,
2082,a18,o.M.
2081,a18,
2371,a18,
2370,a18,o.M.
1649,a18,
2372,a18,
2373,a18,
2375,a18,
1808,a18,
2084,a18,
2374,a18,
1630,a18,
1408,a18,V.
2376,a18,
2086,a18,
1647,a18,stv.M.
2377,a18,
1410,a18,
2378,a18,
2087,a18,
1994,a18,
2467,a18,
2379,a18,
1020,a18,
2380,a18,
1616,a18,O.
2091,a18,
2381,a18,o.M.
2382,a18,
2383,a18,
1155,a18,
763,a18,
1208,a18,
1269,a18,
2591,a18,
1412,a18,o.M.
2384,a18,
764,a18,
2093,a18,
1813,a18,
2385,a18,
1815,a18,
2386,a18,
1176,a18,
167,a18,
1816,a18,
2387,a18,
2094,a18,
1324,a18,
1817,a18,
1818,a18,
1637,a18,
1819,a18,
2096,a18,
1620,a18,
2388,a18,
1821,a18,
2389,a18,
1416,a18,
1822,a18,
2099,a18,
1824,a18,
1825,a18,
2289,a18,o.M.
1030,a18,
1586,a18,
2390,a18,
2101,a18,
1826,a18,
2391,a18,
2392,a18,
1989,a18,
2102,a18,
1760,a18,
2393,a18,
2395,a18,
2394,a18,
2104,a18,
2105,a18,
2106,a18,
2396,a18,
2397,a18,
2110,a18,
2111,a18,
2605,a18,
1673,a18,
2398,a18,
2112,a18,
1538,a18,
1831,a18,
2114,a18,
2113,a18,S
1674,a18,
2399,a18,
1832,a18,
2115,a18,
2116,a18,
1426,a18,
2604,a18,
2120,a18,
2121,a18,
1833,a18,
2400,a18,
2401,a18,
2122,a18,
2123,a18,
2402,a18,
2403,a18,
217,a18,
1578,a18,
2404,a18,
2125,a18,
1839,a18,
2127,a18,
1840,a18,stv.M.
2405,a18,
2406,a18,
1738,a18,S
2128,a18,stv.M.
2129,a18,o.M.
1433,a18,
1845,a18,
1434,a18,
2407,a18,
1551,a18,S
2408,a18,
2132,a18,
2134,a18,
2409,a18,
1851,a18,
2410,a18,
2411,a18,
1853,a18,stv.M.
2412,a18,
2413,a18,o.M.
1720,a18,
2415,a18,
1996,a18,stv.M.
2416,a18,
1557,a18,
2139,a18,
2417,a18,
1567,a18,
2140,a18,
1709,a18,
1855,a18,
2418,a18,
2141,a18,
2419,a18,
1640,a18,
1580,a18,
2142,a18,stv.M.
2420,a18,
1374,a18,
2421,a18,
2422,a18,
2145,a18,
2423,a18,
1730,a18,
1734,a18,
2146,a18,
2424,a18,
2148,a18,
1441,a18,
1860,a18,
1368,a18,
2147,a18,
2149,a18,
1859,a18,
2425,a18,
1442,a18,
2426,a18,
2151,a18,
2427,a18,
2428,a18,O.
2152,a18,
1050,a18,
2429,a18,
2602,a18,
1344,a18,
1174,a18,
2430,a18,
2603,a18,o.M.
2431,a18,
2432,a18,
2154,a18,
2433,a18,
1327,a18,
2156,a18,
1329,a18,
2434,a18,
2435,a18,
1599,a18,
2436,a18,
2437,a18,
2438,a18,
1865,a18,
1451,a18,
1561,a18,
2159,a18,
2160,a18,
2161,a18,
2295,a18,
1453,a18,
1866,a18,
2439,a18,
1867,a18,
2440,a18,
1569,a18,
1869,a18,
2442,a18,
2443,a18,
2445,a18,
2444,a18,
2446,a18,
2447,a18,
2162,a18,
1872,a18,
2163,a18,
1752,a18,
2164,a18,
1631,a18,
1196,a18,
